id,date,date_source,title,url,pdf,match_conf,words
0mN49oe2rnA,,,Circle the Wagons!,https://www.youtube.com/watch?v=0mN49oe2rnA,,none,0
K-NXDCXzrao,,,"Bubbles - Past, Present and Future",https://www.youtube.com/watch?v=K-NXDCXzrao,,none,0
WmMOHYjrUWs,,,Berkshire's Japanese investments,https://www.youtube.com/watch?v=WmMOHYjrUWs,,none,0
gE48QKFGEhI,,,Mohnish Pabrai: Getting Traction Without Funding,https://www.youtube.com/watch?v=gE48QKFGEhI,,none,0
lfRWWxo3Y4Y,,,Charlie Munger’s Commentary on the 0/6/25 1960s Buffett Partnerships Fee Structure,https://www.youtube.com/watch?v=lfRWWxo3Y4Y,,none,0
rwqsfh_gJ14,,,Mohnish Pabrai - Columbia Compounding Presentation,https://www.youtube.com/watch?v=rwqsfh_gJ14,,none,0
sk2gJ3TCNSQ,,,Einstein: Compounding is the 8th wonder of the world,https://www.youtube.com/watch?v=sk2gJ3TCNSQ,,none,0
vN39WzE2BJ0,,,Compounding is the 8th wonder of the world!,https://www.youtube.com/watch?v=vN39WzE2BJ0,,none,0
x6NdeoZbQXI,,,Circle the Wagons Investing #shorts,https://www.youtube.com/watch?v=x6NdeoZbQXI,,none,0
z3h8Ek-Algs,,,Einstein: Compounding is the 8th wonder of the world,https://www.youtube.com/watch?v=z3h8Ek-Algs,,none,0
zXRSVvKf0Bc,2013-03-26,site,Mohnish Pabrai - Columbia Compounding Presentation,https://www.youtube.com/watch?v=zXRSVvKf0Bc,,none,0
PpBPzNoltbs,2013-07-13,yt_title,"Mohnish Pabrai's Presentation and Q&A at Indian School of Business on July 13, 2013",https://www.youtube.com/watch?v=PpBPzNoltbs,mohnish_pabrais_presentation_and_q_a_at_the_indian_school_of_business_on_july_13_2013.pdf,date+kw,12983
CcbW7fESGXo,2013-10-27,yt_title,"Columbia Business School Presentation Oct 27, 2013",https://www.youtube.com/watch?v=CcbW7fESGXo,,none,0
QeLk7UTKxoU,2013-11-09,yt_title,"Mohnish Pabrai’s keynote address at TiECON Southwest on November 9, 2013",https://www.youtube.com/watch?v=QeLk7UTKxoU,20230919_keynote_address_by_mohnish_pabrai_at_the_tiecon_southwest_on_november_9_2013.pdf,date+kw,3061
ot6pzc9ZwfU,2013-11-19,yt_title,"Boston College Presentation November 19, 2013",https://www.youtube.com/watch?v=ot6pzc9ZwfU,mohnish_pabrais_presentation_and_q_a_at_the_boston_college_v2.pdf,date+kw,14995
fkF9Npxfmn8,2014-02-24,yt_title,"Mohnish Pabrai’s Talk at TiE SoCal in Irvine, on Marketing & Branding on Feb 24, 2014",https://www.youtube.com/watch?v=fkF9Npxfmn8,20230118_mohnish_pabrai_talk_at_tie_socal__irvine__ca__on_marketing___branding_on_feb_24_2014_v2.pdf,date+kw,13083
DzOEp7GRwAU,2014-06-15,pdf,"Mohnish Pabrai’s Talk at Pan IIT Conference, Toronto in June 2014",https://www.youtube.com/watch?v=DzOEp7GRwAU,20240903_mohnish_pabrais_session_at_pan_iit_conference_toronto_in_june_2014.pdf,kw,3970
i6fWxvsW6Nk,2014-10-09,yt_title,"Mohnish Pabrai’s Presentation and Q&A at the Boston College on October 9, 2014",https://www.youtube.com/watch?v=i6fWxvsW6Nk,mohnish_pabrais_boston_college_presentation_and_q_a_on_october_9_2014.pdf,date+kw,16001
JSHVXBBb9bI,2014-12-26,yt_title,"Mohnish Pabrai's Presentation and Q&A at MDI, Gurgaon on December 26, 2014",https://www.youtube.com/watch?v=JSHVXBBb9bI,mohnish_pabrais_presentation_and_q_a_session_at_mdi_gurgaon_on_december_26_2014.pdf,date+kw,11686
7F2IGzES7Uc,2015-12-03,yt_title,"Boston College, Carroll School of Management Presentation, December 3, 2015",https://www.youtube.com/watch?v=7F2IGzES7Uc,20230118_mohnish_pabrais_presentation_at_the_boston_college_carroll_school_of_mgmt_on_dec_3_2015.pdf,date+kw,16721
OFkApI6zZtY,2015-12-22,yt_title,"Mohnish Pabrai's Presentation and Q&A at MDI, Gurgaon on December 22, 2015",https://www.youtube.com/watch?v=OFkApI6zZtY,mohnish_pabrais_speech_at_the_mdi_gurgaon_india_on_december_22_2015.pdf,date+kw,14264
jfxOvdiac94,2016-05-24,yt_title,"Mohnish Pabrai Lecture at Univ. of California, Irvine (UCI), May 24, 2016",https://www.youtube.com/watch?v=jfxOvdiac94,mohnish_pabrai’s_lecture_at_the_university_of_california__irvine__uci__on_may_24__2016_v2.pdf,date+kw,20596
FO5V7jcBNMM,2016-09-26,yt_title,"Mohnish Pabrai's Lecture to Univ. of Puerto Rico MBA Class – Sept. 26, 2016",https://www.youtube.com/watch?v=FO5V7jcBNMM,mohnish_pabrais_lecture_to_university_of_puerto_ricos_mba_class_on_sept_26_2016_v2.pdf,date+kw,6002
Jo1XgDJCkh4,2016-10-14,yt_title,"Mohnish Pabrai Lecture at Peking University (Guanghua School of Mgmt) - Oct 14, 2016",https://www.youtube.com/watch?v=Jo1XgDJCkh4,mohnishs_lecture_at_peking_university__guanghua_school_of_mgmt__oct_14__2016.pdf,date+kw,14330
IOoaNYQHaYY,2016-11-03,yt_title,"Mohnish Pabrai Lecture at Boston College (Carroll School of Mgmt) - Nov 3, 2016",https://www.youtube.com/watch?v=IOoaNYQHaYY,mohnish_pabrai’s_lecture_at_boston_college__carroll_school_of_mgmt__on_nov_3_2016_v2.pdf,date+kw,20792
bLjoL5zhBxA,2017-06-07,yt_title,"Mohnish Pabrai Lecture at Univ. of California, Irvine (UCI), June 7, 2017",https://www.youtube.com/watch?v=bLjoL5zhBxA,mohnish_pabrai’s_lecture_at_the_university_of_california__irvine__uci__on_june_7__2017_v2.pdf,date+kw,19254
